Country,2013_energy_consumption,2013_median_masked,2014_energy_consumption,2014_median_masked,2015_energy_consumption,2015_median_masked,2016_energy_consumption,2016_median_masked,2017_energy_consumption,2017_median_masked,2018_energy_consumption,2018_median_masked,2019_energy_consumption,2019_median_masked,2020_energy_consumption,2020_median_masked,2021_energy_consumption,2021_median_masked
Afghanistan,33.458687,88539.24677,28.416525,80624.77395,32.743607,70962.23082,29.883818,68843.09961,29.559513,78654.05785,33.907795,76735.72913,30.314272,77318.62501,27.393118,83072.22632,27.13513,74474.44059
Albania,38.665195,76485.93602,34.059666,77323.93904,34.083374,68207.23674,39.827103,63690.28101,36.862617,76753.60149,42.032387,78284.44195,33.29553,86872.20578,31.988321,94520.19355,40.252644,107396.4943
Algeria,536.9768,2553885.079,585.6132,2813663.4,617.5181,2892443,616.9958,3108984.175,623.7946,3112502.708,669.61975,2961495.938,694.3489,3024431.166,648.8988,2921227.111,707.6273,2751923.654
Angola,101.91877,171078.762,112.17697,179196.0552,116.99946,165254.1108,106.75158,239761.0818,101.83017,199745.3549,105.27903,213690.1486,118.654335,235159.1662,117.90763,221499.0717,96.311485,232253.7823
Argentina,981.39813,3241087.887,979.85767,3299328.657,996.94006,3419844.249,992.4242,3321434.459,991.3971,3564938.51,984.3456,3605563.339,927.35834,3644796.531,869.82855,3539068.568,958.46265,3514455.523
Armenia,43.05361,30217.93185,43.884068,28012.4296,40.660046,23464.5208,40.950134,24658.63358,43.64147,28482.66169,42.928493,27332.57089,45.634823,36015.50841,47.936787,39850.1998,49.357056,49347.28374
Australia,1555.586,1093657.638,1566.4581,1136374.401,1601.2705,1112124.023,1606.5027,1132140.528,1601.6459,1201266.146,1624.9872,1232465.471,1679.8438,1250380.36,1585.1263,1267036.147,1589.0751,1300788.857
Austria,410.85233,275121.9378,394.88925,282690.6936,396.38324,285822.6312,409.6511,290046.0537,417.56863,335503.4498,408.4021,338367.882,427.9604,339271.1966,400.14407,337761.8709,406.03314,382067.5157
Azerbaijan,154.21175,263563.0773,157.24129,262239.576,171.82614,246741.3367,170.19234,232910.9972,166.95396,240004.4699,176.16669,235126.1255,185.8906,250785.8209,184.92851,245911.3337,197.54944,263059.5035
Bahamas,12.594334,27046.6511,12.363687,26174.9595,11.819098,24785.35706,12.373412,22084.42511,14.754933,22628.65023,16.02692,21998.32143,16.035286,21217.71781,13.536436,19991.23901,14.459775,22137.99126
Bahrain,203.59215,131156.2553,201.82355,136167.2093,203.60542,141583.9137,203.15282,151597.866,209.00795,152367.8435,211.63669,155363.1838,232.19562,169755.6809,230.62811,181202.7276,235.74854,173744.1215
Bangladesh,306.46094,161440.0007,318.4197,158677.0025,385.0179,176085.3468,386.63824,159792.9091,402.8385,209006.5575,430.20114,218562.0164,482.46228,225079.4187,457.2916,234329.5935,492.38055,261865.4936
Barbados,7.385999,7716.416055,6.423336,7604.130592,6.83276,7453.36733,6.9711556,7418.761712,6.6088576,7899.834808,7.019272,8000.137837,7.0530257,8296.367482,6.0569825,7674.341344,6.475003,7758.909181
Belarus,294.2054,388269.5152,294.86273,327909.9783,266.9616,262025.1085,272.79758,273215.8277,277.83994,259767.7103,307.21524,307127.7908,308.7904,295474.4097,286.5444,277390.934,306.05542,397236.0399
Belgium,701.9301,872662.3504,650.87177,883859.3486,657.449,864947.7217,709.50476,877079.8481,716.0581,890940.6177,714.2254,918966.869,738.434,904736.0668,664.01184,899147.3814,738.3453,879426.5595
Belize,3.3377864,10886.89248,3.3195853,10852.7068,3.670005,10979.52236,3.6743054,10591.91066,4.083113,12392.16356,3.6473157,12600.27963,3.8457918,13241.60333,2.8539426,13598.04082,2.9753036,13963.38026
Benin,19.48076,13435.86426,20.595615,13309.47761,22.778463,14609.50833,27.778744,14577.35608,29.458447,17996.3874,32.67928,22136.81306,29.695702,22476.10999,31.843231,26740.91446,32.294933,32039.74927
Bhutan,17.94188,6806.811757,17.1782,6411.964941,17.990313,7262.738985,18.51358,6003.507884,18.394636,7067.361004,17.633875,7501.62167,20.914705,7304.020297,20.543457,7100.042441,21.603115,6919.751269
Bolivia,83.94523,219037.1315,84.83242,239375.7689,88.927635,269092.5148,92.095825,289689.9536,90.77874,316990.3388,93.88063,321303.6679,93.07756,324031.2176,78.06891,326042.5086,85.30703,326615.7255
Bosnia & Herzegovina,73.227455,113604.1923,70.906006,114046.4877,71.01475,117341.0415,72.58786,121394.0892,72.034004,144556.1816,73.24684,139652.6022,69.54784,151509.5249,64.59231,150787.8582,75.275955,172897.6638
Botswana,19.159739,41549.78584,19.243532,39105.37651,23.44811,39741.29834,25.792757,42254.48993,23.729675,48675.95879,23.526642,51546.51222,23.667168,57768.69904,22.518124,60382.38427,24.29339,62312.70034
Brazil,3473.9395,6616280,3564.4182,6915289.759,3516.9568,6723715.478,3432.1653,6758623.807,3462.9932,7405452.927,3475.9683,7509779.694,3532.9504,7384875.432,3394.3682,7425563.912,3570.6697,7678167.703
Bulgaria,198.10829,239544.034,211.55034,238443.4623,224.68042,237231.8114,213.11739,240875.1109,218.17448,295932.916,218.81418,277717.0839,211.5514,290184.4606,195.37389,304660.8415,221.89557,330295.2268
Burkina Faso,13.221638,23394.15641,12.312724,23442.70837,15.648824,24081.90933,15.036379,25226.47507,17.42735,29138.06849,19.380987,31098.33675,19.840307,33052.03957,18.917995,38059.99177,19.995071,43417.57458
Burundi,2.201248,2066.658538,2.058344,1691.371567,2.078433,1771.045148,2.2725782,1716.350552,2.754312,1601.440121,3.3419418,3003.364621,3.673369,3036.590949,3.5324557,3737.821641,3.6886592,5330.183704
Cambodia,27.991207,14486.03957,30.90454,16865.09563,35.448734,19263.44876,44.197952,20939.64237,46.705288,26647.7598,58.891613,31860.34564,65.95679,41311.95919,64.253365,48201.39312,66.93809,57483.68712
Cameroon,34.61895,25028.17433,43.29559,28874.02304,43.45693,31303.86601,42.342575,31221.06224,43.015976,37016.05119,43.80294,40950.44243,44.35206,42785.87062,46.57453,45014.55232,43.344273,50656.6868
Canada,3999.0527,6697564.853,4007.7463,5035178.548,4019.3127,4497209.835,3983.994,4447584.565,4038.1782,4731228.162,4090.1682,5046488.015,4067.8503,4938115.341,3821.6829,5102304.834,3866.976,4758430.889
Cape Verde,3.583382,3607.898492,3.8647695,4025.15486,3.818471,3918.827917,3.9881656,4236.05566,4.2311363,5500.430712,4.2816496,5899.110957,4.2608,6171.164985,4.049204,6017.395754,4.2622404,6017.186294
Central African Republic,0.9931126,993.3736629,1.1432436,879.4435953,1.4313644,1088.949086,1.5070812,1081.421962,1.5073513,1510.180551,1.5409663,1611.378607,1.5585275,1639.907518,1.4999926,1780.455222,1.561469,2029.849408
Chad,4.0028453,27644.46095,4.160346,25590.56404,4.218693,34323.35965,4.182099,34232.26144,6.732162,33182.10352,7.132974,27486.27693,7.389022,23943.63338,6.2003345,23343.89363,6.2046566,24360.78088
Chile,413.7593,662493.3357,409.53394,656229.7539,414.2298,659847.8114,433.90335,674418.2418,450.3469,713689.4913,468.27765,743639.6305,473.9787,762027.9835,442.47766,786550.9722,476.857,815451.192
China,33852.562,13078270.57,34729.066,12778510.05,35135.99,12867083.75,35277.71,13276351.75,36649.383,15677969.15,38409.645,16782565.49,40188.543,18311875.56,41493.71,19463712.17,43847.004,21789177.27
Colombia,485.0396,718082.906,510.58585,738667.6857,483.40317,771200.7239,544.61725,725589.9403,549.7021,807690.5195,558.41876,811681.2651,563.1924,796507.4584,512.58594,778703.0422,574.74524,795725.8642
Comoros,0.78530526,302.1850349,0.7014616,230.4963172,0.75678515,169.5208429,0.8873186,175.7008492,1.1367831,436.9625485,1.2369027,524.849745,1.3334004,428.3087605,1.2721838,453.8560413,1.342369,513.2442984
Costa Rica,55.670418,121339.3683,56.80869,126158.3329,59.283073,125634.5367,60.83589,119651.9483,63.17111,136859.0111,64.53538,138111.7619,66.162155,137287.4705,58.84567,133870.0294,61.628967,134405.1388
Croatia,96.07299,296359.8781,96.00875,309586.7686,91.01988,302619.687,94.73056,308140.9911,94.7834,346342.2801,98.16044,331420.8753,95.81319,334670.6284,91.37846,327630.9286,98.31208,345431.6111
Cuba,125.37503,146072.8289,127.56847,153565.3659,127.91406,162620.7756,99.81311,157481.2625,106.08925,174186.338,111.2338,170093.6857,108.710625,172182.8097,101.7874,163938.7077,103.89113,156158.4258
Cyprus,28.278452,89410.32408,28.294397,91811.89435,29.184475,92184.02593,31.736937,93713.14367,32.595684,101204.6507,32.462143,103394.3371,32.4935,97748.96978,28.281317,92683.74297,29.841984,94401.71608
