Country,2013_energy_consumption,2013_maximum,2014_energy_consumption,2014_maximum,2015_energy_consumption,2015_maximum,2016_energy_consumption,2016_maximum,2017_energy_consumption,2017_maximum,2018_energy_consumption,2018_maximum,2019_energy_consumption,2019_maximum,2020_energy_consumption,2020_maximum,2021_energy_consumption,2021_maximum
Afghanistan,33.458687,1091875.23,28.416525,1090830.047,32.743607,1054925.742,29.883818,817881.3366,29.559513,1560382.115,33.907795,1300210.423,30.314272,1286777.172,27.393118,1472469.641,27.13513,1607986.815
Albania,38.665195,147469.106,34.059666,169818.2762,34.083374,155831.4169,39.827103,131938.1347,36.862617,170630.9093,42.032387,161558.8901,33.29553,183303.5084,31.988321,189101.2577,40.252644,228107.9609
Algeria,536.9768,9310853.627,585.6132,8851788.902,617.5181,10161104.79,616.9958,8588671.075,623.7946,10687492.73,669.61975,9996116.321,694.3489,9403339.25,648.8988,10968634.87,707.6273,10447942.48
Angola,101.91877,2471317.785,112.17697,2220042.152,116.99946,2404280.643,106.75158,2423564.973,101.83017,3025578.054,105.27903,2731293.92,118.654335,2518040.886,117.90763,3167482.302,96.311485,3266719.863
Argentina,981.39813,8385783.098,979.85767,8401531.366,996.94006,8967112.962,992.4242,9925877.358,991.3971,11224812.53,984.3456,10375691.91,927.35834,10019326.48,869.82855,11503335.28,958.46265,11164563.91
Armenia,43.05361,111269.5462,43.884068,136028.0395,40.660046,102207.9236,40.950134,118169.4708,43.64147,151417.6497,42.928493,115863.6353,45.634823,151507.6763,47.936787,144728.5146,49.357056,196817.6641
Australia,1555.586,14469480.31,1566.4581,15901320.89,1601.2705,17097971.55,1606.5027,9349898.58,1601.6459,17697910.39,1624.9872,19381493.85,1679.8438,13924112.26,1585.1263,15086135.05,1589.0751,16005490.92
Austria,410.85233,654185.5674,394.88925,722682.92,396.38324,698396.8249,409.6511,688334.3588,417.56863,763820.6701,408.4021,747171.4081,427.9604,802733.4168,400.14407,799994.49,406.03314,969194.7331
Azerbaijan,154.21175,1488966.102,157.24129,897401.3818,171.82614,855471.7933,170.19234,730097.3309,166.95396,828722.7224,176.16669,875852.2666,185.8906,1023710.658,184.92851,801867.3199,197.54944,911210.773
Bahamas,12.594334,51278.26168,12.363687,45081.97628,11.819098,43948.7448,12.373412,42789.59928,14.754933,50417.53131,16.02692,44735.49589,16.035286,44496.38394,13.536436,46434.63863,14.459775,47129.78024
Bahrain,203.59215,251338.8395,201.82355,194003.5046,203.60542,190283.3954,203.15282,198674.5923,209.00795,200483.0602,211.63669,214857.4161,232.19562,262639.0349,230.62811,283001.1336,235.74854,246492.1476
