Country,2013_energy_consumption,2013_median,2014_energy_consumption,2014_median,2015_energy_consumption,2015_median,2016_energy_consumption,2016_median,2017_energy_consumption,2017_median,2018_energy_consumption,2018_median,2019_energy_consumption,2019_median,2020_energy_consumption,2020_median,2021_energy_consumption,2021_median
Afghanistan,33.458687,557019.0581,28.416525,560414.2593,32.743607,444442.1159,29.883818,309617.2157,29.559513,1041428.276,33.907795,899727.6287,30.314272,880093.2949,27.393118,1059025.649,27.13513,1175124.144
Albania,38.665195,96733.11951,34.059666,96345.86436,34.083374,81958.24183,39.827103,77984.45436,36.862617,114065.5651,42.032387,112083.7542,33.29553,120486.6315,31.988321,134725.056,40.252644,153606.0043
Algeria,536.9768,3802679.586,585.6132,4114501.066,617.5181,4136904.525,616.9958,4020183.703,623.7946,5921239.203,669.61975,5588509.627,694.3489,5351434.023,648.8988,6041095.442,707.6273,6165563.677
Angola,101.91877,286469.6001,112.17697,202912.6945,116.99946,94186.6146,106.75158,157988.8692,101.83017,1198673.405,105.27903,1107829.058,118.654335,830765.1793,117.90763,1252607.031,96.311485,1446131.205
Argentina,981.39813,4341169.706,979.85767,4323284.467,996.94006,4201481.505,992.4242,4033336.554,991.3971,6432468.081,984.3456,6422811.9,927.35834,6097394.45,869.82855,7001255.51,958.46265,7076333.065
Armenia,43.05361,55620.78611,43.884068,49525.53194,40.660046,37043.24643,40.950134,40210.0636,43.64147,73335.62467,42.928493,64046.47512,45.634823,76080.61245,47.936787,85659.26241,49.357056,101351.4539
Australia,1555.586,2082111.409,1566.4581,1444409.448,1601.2705,665808.9922,1606.5027,395238.1435,1601.6459,7282858.793,1624.9872,6425731.419,1679.8438,5473835.669,1585.1263,8351385.066,1589.0751,8910262.223
Austria,410.85233,364091.1751,394.88925,367770.4277,396.38324,350857.6683,409.6511,352834.9906,417.56863,465833.3962,408.4021,459146.898,427.9604,464021.8133,400.14407,473482.7466,406.03314,532824.5653
Azerbaijan,154.21175,375424.0742,157.24129,362298.5855,171.82614,310476.6995,170.19234,291595.8433,166.95396,456125.0327,176.16669,424658.9927,185.8906,452699.2886,184.92851,479390.4739,197.54944,537299.0032
Bahamas,12.594334,30446.48018,12.363687,28924.39975,11.819098,27853.90396,12.373412,22843.44377,14.754933,32907.37067,16.02692,31608.39614,16.035286,29012.14184,13.536436,32407.7338,14.459775,35204.18171
Bahrain,203.59215,131206.729,201.82355,136222.5171,203.60542,141628.3452,203.15282,151632.2679,209.00795,152424.3754,211.63669,155404.9261,232.19562,169796.8655,230.62811,181235.6325,235.74854,173780.0419
Bangladesh,306.46094,240744.2035,318.4197,239934.5117,385.0179,280025.2681,386.63824,230137.769,402.8385,370473.5847,430.20114,398296.8017,482.46228,379030.7602,457.2916,432583.3689,492.38055,466870.9509
Barbados,7.385999,7719.183165,6.423336,7609.882534,6.83276,7458.907853,6.9711556,7423.170495,6.6088576,7915.762521,7.019272,8014.826886,7.0530257,8310.35884,6.0569825,7698.437141,6.475003,7791.195026
Belarus,294.2054,719313.2415,294.86273,608711.0897,266.9616,511382.4061,272.79758,499897.1247,277.83994,716268.9127,307.21524,757039.3113,308.7904,746173.0817,286.5444,721540.8976,306.05542,942402.6229
Belgium,701.9301,885764.4544,650.87177,895852.4093,657.449,876561.754,709.50476,886789.5335,716.0581,907877.1075,714.2254,934869.006,738.434,922470.457,664.01184,917962.1385,738.3453,898131.3462
Belize,3.3377864,17060.37876,3.3195853,15609.02136,3.670005,19001.95963,3.6743054,13771.86419,4.083113,30364.24596,3.6473157,31313.81396,3.8457918,29306.72017,2.8539426,37595.68173,2.9753036,38217.93684
Benin,19.48076,46548.2631,20.595615,26238.15177,22.778463,41718.52705,27.778744,19360.23575,29.458447,121539.8511,32.67928,131822.5251,29.695702,94391.58961,31.843231,155737.9207,32.294933,155760.2159
Bhutan,17.94188,29380.7273,17.1782,25849.13103,17.990313,33762.47419,18.51358,14645.37948,18.394636,53570.51767,17.633875,54540.00757,20.914705,47864.77727,20.543457,59733.00676,21.603115,65790.33698
Bolivia,83.94523,346563.2299,84.83242,237808.9027,88.927635,235239.4437,92.095825,316216.7274,90.77874,1137163.983,93.88063,1100398.389,93.07756,890309.6683,78.06891,1342232.845,85.30703,1395820.162
Bosnia & Herzegovina,73.227455,159631.0849,70.906006,157442.3488,71.01475,147093.5681,72.58786,151619.6649,72.034004,213319.8775,73.24684,205338.797,69.54784,215472.0504,64.59231,225262.4257,75.275955,257812.4631
Botswana,19.159739,165543.3612,19.243532,96618.4813,23.44811,6555.05305,25.792757,-41.4309006,23.729675,544683.0888,23.526642,487019.0998,23.667168,394995.3945,22.518124,591420.6533,24.29339,647052.9172
Brazil,3473.9395,8156083.835,3564.4182,7841806.379,3516.9568,7858027.563,3432.1653,7148096.358,3462.9932,14140363.34,3475.9683,14113773.66,3532.9504,12577067.05,3394.3682,15876568.58,3570.6697,16531129.11
Bulgaria,198.10829,321436.2983,211.55034,316136.405,224.68042,291561.2884,213.11739,295138.702,218.17448,439460.6902,218.81418,407637.8682,211.5514,426010.0442,195.37389,458668.6052,221.89557,502645.8152
Burkina Faso,13.221638,97670.52929,12.312724,61202.36388,15.648824,94104.165,15.036379,42384.73651,17.42735,274909.5787,19.380987,287162.3167,19.840307,209508.0211,18.917995,333564.175,19.995071,368785.6905
Burundi,2.201248,7480.285519,2.058344,6017.485092,2.078433,6011.256257,2.2725782,1332.034968,2.754312,22299.73091,3.3419418,22999.29787,3.673369,19213.23934,3.5324557,29239.36564,3.6886592,36762.83852
Cambodia,27.991207,43964.10369,30.90454,14598.35038,35.448734,65624.24119,44.197952,-6776.442441,46.705288,155283.6652,58.891613,153223.0363,65.95679,143352.184,64.253365,242936.472,66.93809,245081.5825
Cameroon,34.61895,142365.4003,43.29559,30977.40202,43.45693,141048.5465,42.342575,15083.44787,43.015976,406974.8036,43.80294,404827.6009,44.35206,324837.9545,46.57453,527528.7031,43.344273,494265.2996
Canada,3999.0527,48452974.21,4007.7463,50593313.87,4019.3127,71560220.1,3983.994,56898257.66,4038.1782,70941847.42,4090.1682,59531665.09,4067.8503,59732385.8,3821.6829,56319396.66,3866.976,63471170.55
Cape Verde,3.583382,5293.69091,3.8647695,5314.956425,3.818471,5341.204705,3.9881656,5215.815963,4.2311363,9060.485628,4.2816496,9440.664119,4.2608,8741.674174,4.049204,10000.35892,4.2622404,10405.98032
Central African Republic,0.9931126,74825.08232,1.1432436,-24562.35095,1.4313644,111516.2414,1.5070812,-38574.66702,1.5073513,474610.1476,1.5409663,499528.793,1.5585275,367686.5605,1.4999926,637018.671,1.561469,592426.0537
Chad,4.0028453,389534.4403,4.160346,185396.5484,4.218693,365502.7924,4.182099,35973.22593,6.732162,1138256.13,7.132974,1093786.268,7.389022,818726.1987,6.2003345,1402060.187,6.2046566,1371637.736
Chile,413.7593,930498.358,409.53394,952468.4575,414.2298,808103.5147,433.90335,866661.0794,450.3469,1504945.534,468.27765,1552551.823,473.9787,1451637.269,442.47766,1720747.699,476.857,1816700.312
China,33852.562,19840263.36,34729.066,19202588.02,35135.99,18545769.17,35277.71,17189266.56,36649.383,27976389.64,38409.645,28380616.55,40188.543,30008109.44,41493.71,33213839.2,43847.004,37180284.12
Colombia,485.0396,985024.2396,510.58585,862603.3517,483.40317,1026095.825,544.61725,794709.7447,549.7021,1602482.115,558.41876,1723059.966,563.1924,1521660.447,512.58594,1895240.663,574.74524,1880215.626
Comoros,0.78530526,345.9460761,0.7014616,151.7769712,0.75678515,-50.22146089,0.8873186,-67.49131468,1.1367831,1519.71167,1.2369027,1527.745243,1.3334004,1225.186589,1.2721838,1946.074934,1.342369,2238.851218
Costa Rica,55.670418,139263.6126,56.80869,139094.3232,59.283073,144827.2537,60.83589,131670.6485,63.17111,170202.9495,64.53538,172959.0359,66.162155,168418.9375,58.84567,179884.6848,61.628967,180743.418
Croatia,96.07299,344449.4022,96.00875,357460.2387,91.01988,335500.5953,94.73056,340367.4332,94.7834,414043.7538,98.16044,396481.3575,95.81319,398973.1454,91.37846,400109.3065,98.31208,426217.5753
Cuba,125.37503,182683.7852,127.56847,181391.4591,127.91406,198099.7151,99.81311,177485.8917,106.08925,262893.8941,111.2338,258048.3526,108.710625,244468.227,101.7874,273514.8805,103.89113,271716.6813
Cyprus,28.278452,93359.76521,28.294397,96427.38751,29.184475,96044.13429,31.736937,97170.11038,32.595684,108597.0529,32.462143,110311.9435,32.4935,104647.2375,28.281317,100308.9604,29.841984,102479.8248
Democratic People's Republic of Korea,118.56006,91054.91142,111.504944,55675.65847,98.72228,47456.93653,114.25802,38588.54804,93.33703,157193.899,96.75321,151934.2137,98.323105,156374.4754,99.829216,181571.9808,99.5751,211374.9482
Democratic Republic of the Congo,30.831583,279214.2043,29.33179,88982.62038,29.581387,295556.1238,28.268084,7217.523551,21.170794,1787057.786,19.616518,1867570.159,16.009293,1380529.798,13.568663,2176222.7,13.7025585,2375335.96
Denmark,211.70235,310739.3054,203.5635,287426.6459,198.9746,260117.9334,201.60147,276121.3574,202.98541,319550.5288,200.11829,338502.6694,196.04588,325731.7688,176.48528,342863.0843,189.43509,389634.3886
Djibouti,3.7283626,6027.618779,4.138329,3294.254116,3.6496913,7145.981271,3.48905,1553.450898,3.1583176,22120.14536,3.3127282,22613.44939,3.059594,18037.58322,2.9453895,26683.1602,3.0790696,27311.42502
Dominica,0.7586231,1010.923174,0.78279257,975.9646234,0.8130677,1076.801896,0.850164,787.2854417,0.79398596,1339.041994,0.8187616,1081.226086,0.789469,1259.686348,0.7241603,1699.167877,0.76402795,1690.388776
