Country,2013_energy_consumption,2013_minimum,2014_energy_consumption,2014_minimum,2015_energy_consumption,2015_minimum,2016_energy_consumption,2016_minimum,2017_energy_consumption,2017_minimum,2018_energy_consumption,2018_minimum,2019_energy_consumption,2019_minimum,2020_energy_consumption,2020_minimum,2021_energy_consumption,2021_minimum
Afghanistan,33.458687,190723.041,28.416525,23251.57196,32.743607,45458.31746,29.883818,-1799.889819,29.559513,660310.8408,33.907795,540716.7044,30.314272,515204.3649,27.393118,494106.9792,27.13513,793066.2141
Albania,38.665195,60118.65317,34.059666,55260.7964,34.083374,36758.32222,39.827103,28535.00467,36.862617,64700.65679,42.032387,67515.01253,33.29553,77333.42529,31.988321,90211.41479,40.252644,103411.2743
Algeria,536.9768,1640148.17,585.6132,1346978.374,617.5181,1584108.185,616.9958,1753514.447,623.7946,3502846.839,669.61975,3365836.099,694.3489,2825205.886,648.8988,2814143.685,707.6273,4125851.414
Angola,101.91877,-422387.2221,112.17697,-628616.9532,116.99946,-579804.2572,106.75158,-514820.4246,101.83017,371841.067,105.27903,403698.6683,118.654335,265585.5435,117.90763,588849.2097,96.311485,793181.0134
Argentina,981.39813,1960397.843,979.85767,1435469.96,996.94006,1393023.584,992.4242,937440.3185,991.3971,3912258.609,984.3456,3782925.893,927.35834,3546115.348,869.82855,3848893.258,958.46265,4339578.308
Armenia,43.05361,31307.8786,43.884068,17621.77877,40.660046,2971.778228,40.950134,-276.6041745,43.64147,32946.01673,42.928493,36602.11287,45.634823,39726.06372,47.936787,51985.99301,49.357056,68348.70513
Australia,1555.586,-1734923.145,1566.4581,-5287842.338,1601.2705,-3747521.296,1606.5027,-3360562.795,1601.6459,2069033.14,1624.9872,2949636.534,1679.8438,2052473.801,1585.1263,1870604.081,1589.0751,5104649.107
Austria,410.85233,204880.8455,394.88925,166905.4777,396.38324,161563.9151,409.6511,166234.8368,417.56863,315357.9398,408.4021,300476.949,427.9604,291449.5123,400.14407,269724.8907,406.03314,349974.0359
Azerbaijan,154.21175,206338.4625,157.24129,141886.9735,171.82614,75851.75325,170.19234,66605.30294,166.95396,225579.274,176.16669,225242.9398,185.8906,243294.4964,184.92851,238287.5859,197.54944,345835.7209
Bahamas,12.594334,17615.35804,12.363687,16616.13943,11.819098,15955.88908,12.373412,6966.531369,14.754933,19923.28352,16.02692,22659.80846,16.035286,17226.38933,13.536436,16076.0006,14.459775,24515.11746
Bahrain,203.59215,106298.7105,201.82355,111269.1849,203.60542,118760.7607,203.15282,124653.8606,209.00795,126184.1347,211.63669,125987.5584,232.19562,134918.5216,230.62811,139717.1708,235.74854,144494.5126
Bangladesh,306.46094,113782.297,318.4197,91184.56513,385.0179,148558.0967,386.63824,110007.6022,402.8385,225015.6146,430.20114,255771.3227,482.46228,231005.7594,457.2916,228754.2361,492.38055,345480.7966
Barbados,7.385999,5551.208383,6.423336,5815.416035,6.83276,5789.262313,6.9711556,5732.824119,6.6088576,6225.32768,7.019272,6262.790645,7.0530257,6463.042187,6.0569825,5942.238616,6.475003,6245.180864
Belarus,294.2054,282217.1357,294.86273,63841.94986,266.9616,137279.1758,272.79758,124721.8287,277.83994,382667.1676,307.21524,422744.1106,308.7904,412884.5802,286.5444,259098.2239,306.05542,404137.4095
Belgium,701.9301,603853.6639,650.87177,607744.2255,657.449,579219.4137,709.50476,623496.6944,716.0581,591455.4458,714.2254,663603.1313,738.434,611999.0046,664.01184,602794.5822,738.3453,604931.4586
Belize,3.3377864,1587.493649,3.3195853,696.5037978,3.670005,3696.415977,3.6743054,-2830.327155,4.083113,12509.50904,3.6473157,16614.82151,3.8457918,13211.23061,2.8539426,7196.560199,2.9753036,21545.75978
Benin,19.48076,-33353.59309,20.595615,-45202.29276,22.778463,-6847.100358,27.778744,-41946.11801,29.458447,27335.32557,32.67928,51863.84387,29.695702,17158.15903,31.843231,28726.18114,32.294933,95256.48795
Bhutan,17.94188,484.0501758,17.1782,-8037.628195,17.990313,9866.623166,18.51358,-8208.607843,18.394636,20177.31605,17.633875,22351.23424,20.914705,17412.71811,20.543457,1659.349196,21.603115,33990.92582
Bolivia,83.94523,-366346.4112,84.83242,-398894.8899,88.927635,-406614.3972,92.095825,-395039.1908,90.77874,422032.4047,93.88063,463006.0472,93.07756,282581.8747,78.06891,505846.1622,85.30703,826566.4665
Bosnia & Herzegovina,73.227455,86122.41908,70.906006,68141.09471,71.01475,55785.83002,72.58786,69776.0466,72.034004,133675.275,73.24684,123613.4893,69.54784,141819.7878,64.59231,134890.1044,75.275955,161106.3833
Botswana,19.159739,-190996.0671,19.243532,-337351.0803,23.44811,-321256.1261,25.792757,-271814.1317,23.729675,161822.2245,23.526642,175497.8407,23.667168,107372.531,22.518124,191256.1197,24.29339,365516.7733
Brazil,3473.9395,1628391.019,3564.4182,759755.6105,3516.9568,1062968.966,3432.1653,1020256.529,3462.9932,7467676.93,3475.9683,8131516.045,3532.9504,6702374.068,3394.3682,8461413.389,3570.6697,10676344.08
Bulgaria,198.10829,190808.3361,211.55034,145495.2524,224.68042,96374.57236,213.11739,139536.2368,218.17448,278151.5155,218.81418,249375.593,211.5514,275563.0304,195.37389,251830.148,221.89557,336539.9707
Burkina Faso,13.221638,-88755.69886,12.312724,-100573.8388,15.648824,-23040.75152,15.036379,-106737.713,17.42735,46836.96767,19.380987,121642.7002,19.840307,21328.91132,18.917995,50774.99346,19.995071,199315.662
Burundi,2.201248,-7683.221139,2.058344,-9801.528458,2.078433,-7535.759597,2.2725782,-13931.42607,2.754312,9154.419247,3.3419418,11009.47927,3.673369,5104.424849,3.5324557,16299.21953,3.6886592,21172.34461
Cambodia,27.991207,-77661.11191,30.90454,-141477.5641,35.448734,-22693.46485,44.197952,-109052.2505,46.705288,39977.72448,58.891613,35552.08842,65.95679,20030.01392,64.253365,48091.93015,66.93809,149881.2229
Cameroon,34.61895,-206716.9711,43.29559,-237221.9648,43.45693,-61758.14253,42.342575,-226610.1458,43.015976,91943.33267,43.80294,172449.3036,44.35206,47169.70982,46.57453,75394.93558,43.344273,287674.3924
Canada,3999.0527,27381598.54,4007.7463,22926246.27,4019.3127,31689019.56,3983.994,25063810.87,4038.1782,43326589.21,4090.1682,33316726.52,4067.8503,35317830.82,3821.6829,32184405.97,3866.976,36670130.78
Cape Verde,3.583382,738.1951325,3.8647695,1702.823754,3.818471,2071.242645,3.9881656,821.3483398,4.2311363,4035.905125,4.2816496,4765.919709,4.2608,4228.984538,4.049204,3746.264429,4.2622404,5853.758034
Central African Republic,0.9931126,-317458.7209,1.1432436,-388226.6721,1.4313644,-161992.3767,1.5070812,-349744.669,1.5073513,91811.34447,1.5409663,198251.4503,1.5585275,21698.54376,1.4999926,198811.4359,1.561469,316977.0356
Chad,4.0028453,-445155.6533,4.160346,-722402.3808,4.218693,-155931.4764,4.182099,-569829.9368,6.732162,291250.5904,7.132974,490759.8777,7.389022,160941.9107,6.2003345,182035.3441,6.2046566,763578.7767
Chile,413.7593,337966.735,409.53394,187842.9526,414.2298,86825.66017,433.90335,87849.61403,450.3469,833674.046,468.27765,852033.1575,473.9787,778933.7075,442.47766,862176.3405,476.857,1078264.963
China,33852.562,9942433.303,34729.066,6088404.746,35135.99,7643679.357,35277.71,6409499.902,36649.383,16714301.99,38409.645,17378865.71,40188.543,18031146.8,41493.71,17911251.47,43847.004,23822272.66
Colombia,485.0396,53773.95256,510.58585,-316587.4949,483.40317,134409.0269,544.61725,-112995.5044,549.7021,746138.8925,558.41876,908851.969,563.1924,641031.8775,512.58594,725456.1113,574.74524,1129729.538
Comoros,0.78530526,-682.6029493,0.7014616,-793.295901,0.75678515,-974.8995474,0.8873186,-901.0506596,1.1367831,435.6036314,1.2369027,737.3216068,1.3334004,232.3067062,1.2721838,1048.098458,1.342369,1272.597233
Costa Rica,55.670418,68622.49909,56.80869,69533.77763,59.283073,78435.90393,60.83589,66650.45118,63.17111,105912.4967,64.53538,108993.3306,66.162155,101177.8603,58.84567,98301.23679,61.628967,119233.722
Croatia,96.07299,199248.8258,96.00875,202374.8569,91.01988,190852.1095,94.73056,210087.8198,94.7834,281509.6414,98.16044,276099.6388,95.81319,273243.879,91.37846,229898.1697,98.31208,293213.6851
Cuba,125.37503,77234.42023,127.56847,78311.73267,127.91406,100854.922,99.81311,73184.47,106.08925,149873.0903,111.2338,168760.6325,108.710625,155592.5635,101.7874,125389.8429,103.89113,180553.5207
Cyprus,28.278452,66082.8517,28.294397,70025.09983,29.184475,71007.51326,31.736937,69690.03584,32.595684,84337.16275,32.462143,84472.78652,32.4935,79648.66095,28.281317,72123.68371,29.841984,78388.05976
Democratic People's Republic of Korea,118.56006,26050.04735,111.504944,-81270.65006,98.72228,-49054.70836,114.25802,-57782.51994,93.33703,82926.76165,96.75321,68393.5558,98.323105,77587.94393,99.829216,87415.74852,99.5751,137557.0443
